"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","...8","...9"
"TOMM6",7.31234950634894,0.795103957018365,239.97155744174,0,0,1224.82822678173,"Up","'TOMM6',"
"PYURF",5.55449269589027,0.603964446433726,168.144498158364,0,0,1061.76662790545,"Up","'PYURF',"
"ADIRF",4.65703953578037,0.506380412981454,52.5287837446423,1.12042520801333e-218,1.7061274855023e-215,488.062715338895,"Up","'ADIRF',"
"TREX1",4.0407034798756,0.439363479986489,120.438808309672,0,0,896.964027075721,"Up","'TREX1',"
"EVA1B",3.91628613828294,0.425835034643969,77.1728917796916,8.68057885645578e-301,1.98275271805021e-297,673.03195549044,"Up","'EVA1B',"
"ZNF593",3.33491667719466,0.362620173456107,84.2237926045938,0,0,716.682243656285,"Up","'ZNF593',"
"SERINC4",3.22549048767981,0.350721782082846,98.9857608295762,0,0,798.001785134177,"Up","'SERINC4',"
"PGAM2",3.20954935417056,0.348988432449934,53.4856154115794,2.4232057579746e-222,4.0253853468609e-219,496.373424085914,"Up","'PGAM2',"
"PTPRCAP",2.88916005078616,0.314151092866231,52.049397637127,7.98541643292328e-217,1.04226796056291e-213,483.859536207532,"Up","'PTPRCAP',"
"UTP14C",2.69320672378358,0.292844224867734,113.461788754137,0,0,866.91528484649,"Up","'UTP14C',"
"GP1BB",2.69166237706698,0.292676301249724,50.7840432608072,7.03762310764888e-212,8.57323246973786e-209,472.637068598843,"Up","'GP1BB',"
"CPLX3",2.51499099124043,0.273466043610827,25.9297064561522,5.19013913944258e-98,4.51616249976353e-95,212.836046850943,"Up","'CPLX3',"
"CMC4",2.45835465520009,0.267307725431742,80.6567373172975,0,3.10794366519318e-307,695.030786378139,"Up","'CMC4',"
"ABHD16B",2.32399500439663,0.252698209034232,59.3524895071327,7.00758932857692e-244,1.28049679801086e-240,545.127305395003,"Up","'ABHD16B',"
"OVCA2",2.26923023973765,0.246743395051687,48.3983080775431,2.45306894166652e-202,2.80155804819202e-199,450.962725006314,"Up","'OVCA2',"
"TNFRSF6B",2.04533313424358,0.222398076985494,43.5123823469722,7.18357360896867e-182,7.29252447537137e-179,404.398099614838,"Up","'TNFRSF6B',"
"NPFF",1.8573990012446,0.201963171258334,52.4403540581535,2.45661158143265e-218,3.45305103288606e-215,487.289367070468,"Up","'NPFF',"
"BOLA2",1.83971705165282,0.200040535028203,61.8072150711274,1.92764092673741e-252,3.91375362825252e-249,564.458845411985,"Up","'BOLA2',"
"C19orf33",1.7829574615864,0.193868814896212,37.6651553924672,1.09569071826122e-155,1.0537661313046e-152,344.698182453687,"Up","'C19orf33',"
"DND1",0.919802237776481,0.100014147066605,47.0611066280945,7.34369085358764e-197,7.89360370397688e-194,438.513348375247,"Up","'DND1',"
"AR",0.771203090379355,4.95603078970714,3.96173165696345,8.40097698181967e-05,0.0274126879265698,0.197447844141249,"Up","'AR',"
"CDR1",0.544522096749855,0.0592082850298432,19.5604235503048,2.44071933003244e-65,2.0272392871674e-62,138.023415413086,"Up","'CDR1',"
"ICAM4",0.436165508530237,0.0474261961146967,13.2586711713559,4.29491842979236e-35,2.9067053506517e-32,68.8087220293327,"Up","'ICAM4',"
"CCL27",0.24902814455057,0.0270779265910607,15.8336096882738,6.08764592452832e-47,4.63498141578775e-44,95.9070092313318,"Up","'CCL27',"
"PMCH",0.205675306347921,0.0223639816171543,19.2505026072952,8.99474194383672e-64,7.14612693650993e-61,134.436375018623,"Up","'PMCH',"
